segmentnr	original	analyzed
MBtantrabhidanaHK-9266	nirāmayaḥ - bha	nirāmayaḥ bha 
MBtantrabhidanaHK-9267	nirālasyā - jha	nirālasyā 
MBtantrabhidanaHK-9268	nirīhaḥ - pa	nirīhaḥ pa 
MBtantrabhidanaHK-9269	nirīheśaḥ - pa	nirīha īśaḥ pa 
MBtantrabhidanaHK-9270	nir-ṛtiḥ -	nirṛtiḥ 
MBtantrabhidanaHK-9271	kṣa	kṣa 
MBtantrabhidanaHK-9272	nirguṇaḥ - ḍha|ra	nirguṇaḥ 
MBtantrabhidanaHK-9273	nirjayā - e	nirjayā e 
MBtantrabhidanaHK-9274	nirjaraḥ - kṣa	nirjaraḥ kṣa 
MBtantrabhidanaHK-9275	nirjharaḥ - krā&	nirjharaḥ krā 
MBtantrabhidanaHK-9276	nirjharī - da	nirjharī da 
MBtantrabhidanaHK-9277	nirṇayaḥ - na	nirṇayaḥ na 
MBtantrabhidanaHK-9278	nirṇetā - na	nirṇetā na 
MBtantrabhidanaHK-9279	nirdīpakaḥ - ra	nirdīpakaḥ ra 
MBtantrabhidanaHK-9280	nirdhanaḥ - ḍha	nirdhanaḥ ḍha 
MBtantrabhidanaHK-9281	nirbalaḥ - cha	nirbalaḥ cha 
MBtantrabhidanaHK-9282	nirbāṇaḥ - ṇa	nirbāṇaḥ ṇa 
MBtantrabhidanaHK-9283	nirbāṇabījam - au|	nirbāṇa bījam au 
MBtantrabhidanaHK-9284	oṃ	om 
MBtantrabhidanaHK-9285	nirbharaḥ - jha	nirbharaḥ jha 
MBtantrabhidanaHK-9286	nirmalā - ga	nirmalā ka 
MBtantrabhidanaHK-9287	nivṛtātmā - va	nivṛta ātmā 
MBtantrabhidanaHK-9288	nivṛttiḥ - a|ṛ	nivṛttiḥ aṛ 
MBtantrabhidanaHK-9289	nivṛttikalā -	      
MBtantrabhidanaHK-9290	hlā&	hlā 
MBtantrabhidanaHK-9291	niśaṭhaḥ - ja	niśaṭhaḥ ja 
MBtantrabhidanaHK-9292	niśā - ta|haṃ	niśā tahaṃ 
MBtantrabhidanaHK-9293	niśākaraḥ - ai|	niśākaraḥ ai 
MBtantrabhidanaHK-9294	ḥ(aḥ)|gūṃ|	ḥaḥgūṃ 
MBtantrabhidanaHK-9295	sa|dāṃ|drāṃ	sadāṃdrāṃ 
MBtantrabhidanaHK-9296	niśācaraḥ - i|ka|	niśācaraḥ i ka 
MBtantrabhidanaHK-9297	kha|klīṃ	kha klīṃ 
MBtantrabhidanaHK-9298	niśācarī - ṭha	niśācarī ṭha 
MBtantrabhidanaHK-9299	niśānāthaḥ - ṝ	niśānāthaḥ ṝ 
MBtantrabhidanaHK-9300	niśāpatiḥ - i|ka|	niśāpatiḥ i ka 
MBtantrabhidanaHK-9301	klīṃ	klīṃ 
MBtantrabhidanaHK-9302	niśāmaṇi - ai|	niśāmaṇi ai 
MBtantrabhidanaHK-9303	gūṃ|sa|drāṃ	gūṃsa drām 
MBtantrabhidanaHK-9304	niśīthanīnāthaḥ -	  
MBtantrabhidanaHK-9305	ai|gūṃ|sa|drā&	ai gūṃsadrā 
MBtantrabhidanaHK-9306	niśumbhamathinī ##-	niśumbha mathinī 
MBtantrabhidanaHK-9307	niścayaḥ - ṇa	niścayaḥ ṇa 
MBtantrabhidanaHK-9308	niścalā - la|la&	niścalā 
MBtantrabhidanaHK-9309	niṣedhikā - ṭha	niṣedhikā 
MBtantrabhidanaHK-9310	niṣphalam - ṇa|pha	niṣphalam ṇapha 
MBtantrabhidanaHK-9311	niṣkalā -	niṣkalā 
MBtantrabhidanaHK-9312	ḥ(aḥ)|ya	ḥa ḥya 
MBtantrabhidanaHK-9313	niṣṭhurā - ña	niṣṭhurāḥ ña 
MBtantrabhidanaHK-9314	nītiḥ - ṭha|dha	nītiḥ ṭha dha 
MBtantrabhidanaHK-9315	nīram - va|va&|	nīram vava 
MBtantrabhidanaHK-9316	svāhā	svāhā 
MBtantrabhidanaHK-9317	nīrajam - ṭha|ṭhaḥ	nīrajam ṭha ṭhaḥ 
MBtantrabhidanaHK-9318	nīrujā - ña	nīrujāḥ ña 
MBtantrabhidanaHK-9319	nīlaḥ - ta|na	nīlaḥ tana 
MBtantrabhidanaHK-9320	nīlakaṇṭhaḥ - e|	nīlakaṇṭhaḥ e 
MBtantrabhidanaHK-9321	ga|sa|ha	gasaha 
MBtantrabhidanaHK-9322	nīlakaṇṭhabījam -	      
MBtantrabhidanaHK-9323	nrīm	n rīm 
MBtantrabhidanaHK-9324	nīlaketuḥ - jha	nīlaketuḥ jha 
MBtantrabhidanaHK-9325	nīlacaraṇaḥ - ḹ	nīla caraṇaḥ ḥ 
MBtantrabhidanaHK-9326	nīlapatākā - jha|	nīlapatākā jha 
MBtantrabhidanaHK-9327	ña	ña 
MBtantrabhidanaHK-9328	nīlapādaḥ - ḹ|	nīla pādaḥ ḥ 
MBtantrabhidanaHK-9329	na|pha	napha 
MBtantrabhidanaHK-9330	nīlalohitaḥ - e|ga|	nīlalohitaḥ ega 
MBtantrabhidanaHK-9331	sa|ha	saha 
MBtantrabhidanaHK-9332	nīlasarasvatī - o	nīla sarasvatī 
MBtantrabhidanaHK-9333	nutiḥ - na|namaḥ	nutiḥ nanamaḥ 
MBtantrabhidanaHK-9334	nṛtyam - ca	nṛtyam ca 
MBtantrabhidanaHK-9335	nṛbījam - ma	nṛ bījam ma 
MBtantrabhidanaHK-9336	nṛvācakaḥ - u	nṛ vācakaḥ u 
MBtantrabhidanaHK-9337	nṛsiṃhaḥ - kṣa	nṛsiṃhaḥ kṣa 
MBtantrabhidanaHK-9338	nṛsiṃhabījam -	      
MBtantrabhidanaHK-9339	kṣrauṃ	kṣrauṃ 
MBtantrabhidanaHK-9340	nṛsiṃhāstram -	nṛsiṃha astram 
MBtantrabhidanaHK-9341	netā - na	netā na 
MBtantrabhidanaHK-9342	netram - i|au	netram iau 
MBtantrabhidanaHK-9343	netradvayam - dha	netra dvayam dha 
MBtantrabhidanaHK-9344	netrayugmam -	netra yugmam 
MBtantrabhidanaHK-9345	vauṣaṭ	vauṣaṭ 
MBtantrabhidanaHK-9346	netrākhyaḥ - i	netra ākhyaḥ i 
MBtantrabhidanaHK-9347	nepālapīṭhaḥ - i	nepāla pīṭhaḥ i 
MBtantrabhidanaHK-9348	nauḥ - na	nauḥ na 
MBtantrabhidanaHK-9349	|| pa ||	pa 
MBtantrabhidanaHK-9350	pakṣajaḥ - ai|gūṃ|	pakṣa jaḥ aigūṃ 
MBtantrabhidanaHK-9351	sa|drāṃ	sadrām 
MBtantrabhidanaHK-9352	pakṣajanmā - ai|	pakṣa janmā ai 
MBtantrabhidanaHK-9353	gūṃ|sa|drā&	gūṃsadrā 
MBtantrabhidanaHK-9354	pakṣadharaḥ - ai|	pakṣa dharaḥ ai 
MBtantrabhidanaHK-9355	gūṃ|sa|drā&	gūṃsadrā 
MBtantrabhidanaHK-9356	pakṣivāhanaḥ -	pakṣi vāhanaḥ 
MBtantrabhidanaHK-9357	ṇa	ṇa 
MBtantrabhidanaHK-9358	paṅkajam -	paṅkajam 
MBtantrabhidanaHK-9359	ṭhaṭhaḥ	ṭha ṭhaḥ 
MBtantrabhidanaHK-9360	paṅktināmā - ya	paṅkti nāmā ya 
MBtantrabhidanaHK-9361	paṅguḥ - cha	paṅguḥ cha 
MBtantrabhidanaHK-9362	p. 26)	p 
MBtantrabhidanaHK-9363	paṅgupaṭaḥ - va	paṅgu paṭaḥ va 
MBtantrabhidanaHK-9364	pañcadaśī -	pañcadaśī 
MBtantrabhidanaHK-9365	ṃ(aṃ)	ṃaṃ 
MBtantrabhidanaHK-9366	pañcadevaḥ - oṃ	pañcadevaḥ om 
MBtantrabhidanaHK-9367	pañcadhanvā - i|	pañca dhanvā i 
MBtantrabhidanaHK-9368	ka|klīṃ	kaklīṃ 
MBtantrabhidanaHK-9369	pañcanakhaḥ - ca|	pañcanakhaḥ ca 
MBtantrabhidanaHK-9370	krā&	krā 
MBtantrabhidanaHK-9371	pañcanārācaḥ -	pañcanārācaḥ 
MBtantrabhidanaHK-9372	cha	cha 
MBtantrabhidanaHK-9373	pañcapañcātmikā	pañca pañca ātmikā 
MBtantrabhidanaHK-9374	- gha	gha 
MBtantrabhidanaHK-9375	pa~capraṇavaḥ -	paca praṇavaḥ 
MBtantrabhidanaHK-9376	oṃ|auṃ|aiṃ|ha&|hūṃ	om aum aiṃ ha hūm 
MBtantrabhidanaHK-9377	pañcabāṇaḥ - i|	pañcabāṇaḥ i 
MBtantrabhidanaHK-9378	ka|klīṃ	kaklīṃ 
MBtantrabhidanaHK-9379	pañcamaḥ - pa|	pañcamaḥ pa 
MBtantrabhidanaHK-9380	oṃ	om 
MBtantrabhidanaHK-9381	pañcamī - u	pañcamī u 
MBtantrabhidanaHK-9382	pañcayajñaḥ -	pañcayajñaḥ 
MBtantrabhidanaHK-9383	ṭa	ṭa 
MBtantrabhidanaHK-9384	pañcaraśmiḥ -	pañca raśmiḥ 
MBtantrabhidanaHK-9385	oṃ	om 
MBtantrabhidanaHK-9386	pañcarājaḥ - cha	pañcarājaḥ cha 
MBtantrabhidanaHK-9387	pañcaśaraḥ - i|u|	pañcaśaraḥ iu 
MBtantrabhidanaHK-9388	ka|klīṃ	kaklīṃ 
MBtantrabhidanaHK-9389	pañcasuptaḥ - ca	pañca suptaḥ ca 
MBtantrabhidanaHK-9390	pañcānanaḥ - e|	pañcānanaḥ e 
MBtantrabhidanaHK-9391	ga|sa|ha	gasaha 
MBtantrabhidanaHK-9392	pañcāntakaḥ -	pañca antakaḥ 
MBtantrabhidanaHK-9393	kha|ga	kha ga 
MBtantrabhidanaHK-9394	pañcāntakeśaḥ -	pañca anta keśaḥ 
MBtantrabhidanaHK-9395	ga	ga 
MBtantrabhidanaHK-9396	pañcāstram -	pañcāstram 
MBtantrabhidanaHK-9397	klīṃ	klīṃ 
MBtantrabhidanaHK-9398	pañceṣuḥ - klīṃ	pañca iṣuḥ klīṃ 
MBtantrabhidanaHK-9399	paṇyastrī - khrīm	paṇya strī khrīm 
MBtantrabhidanaHK-9400	paṇyātmā - ja	paṇya ātmā ja 
MBtantrabhidanaHK-9401	patanam - au	patanam au 
MBtantrabhidanaHK-9402	patākaḥ - e	patākaḥ e 
MBtantrabhidanaHK-9403	patākikā - e	patākikā e 
MBtantrabhidanaHK-9404	patiḥ - ṅa	patiḥ ṅa 
MBtantrabhidanaHK-9405	patnī - ṇa	patnī ṇa 
MBtantrabhidanaHK-9406	pathinī - tha	pathinī tha 
MBtantrabhidanaHK-9407	padmam - i|ṭha|	padmam iṭha 
MBtantrabhidanaHK-9408	ṭhaḥ	ṭhaḥ 
MBtantrabhidanaHK-9409	padmagarbhā -	padma garbhā 
MBtantrabhidanaHK-9410	padmadhāriṇī - u	padma dhāriṇī u 
MBtantrabhidanaHK-9411	padmapāṇiḥ - ka|	padma pāṇiḥ ka 
MBtantrabhidanaHK-9412	ka&	ka 
MBtantrabhidanaHK-9413	padmareṇuḥ - pa	     
MBtantrabhidanaHK-9414	padmā - u|e|ai|o|	padmā 
MBtantrabhidanaHK-9415	śrīṃ	śrīṃ 
MBtantrabhidanaHK-9416	padmākṣī - strī.	padma akṣī strī 
MBtantrabhidanaHK-9417	padmāsanaḥ - ka|	padmāsanaḥ ka 
MBtantrabhidanaHK-9418	ka&	ka 
MBtantrabhidanaHK-9419	padmāvatī -	padmāvatī 
MBtantrabhidanaHK-9420	ḥ(aḥ)	ḥaḥ 
MBtantrabhidanaHK-9421	padmī - krā&	padmī krā 
MBtantrabhidanaHK-9422	padmālayā - ḹ|	padma ālayā 
MBtantrabhidanaHK-9423	śrīṃ	śrīṃ 
MBtantrabhidanaHK-9424	padmeśaḥ - ya|pa	padma īśaḥ yapa 
MBtantrabhidanaHK-9425	papañcamaḥ - ma	papañcamaḥ ma 
MBtantrabhidanaHK-9426	pampā - kha	pampā kha 
MBtantrabhidanaHK-9427	payodaḥ - ā	payaḥ daḥ ā 
MBtantrabhidanaHK-9428	payoyoniḥ - ṭhaḥ	payaḥ yoniḥ ṭhaḥ 
MBtantrabhidanaHK-9429	payaḥ - o|bha|	payaḥ obha 
MBtantrabhidanaHK-9430	svāhā	svāhā 
MBtantrabhidanaHK-9431	payaḥsūḥ - ma	payaḥsūḥ ma 
MBtantrabhidanaHK-9432	paraḥ -	paraḥ 
MBtantrabhidanaHK-9433	ṃ(aṃ)|kṣa	ṃaṃkṣa 
MBtantrabhidanaHK-9434	paradaḥ - pha	para daḥ pha 
MBtantrabhidanaHK-9435	paranāyikā -	para nāyikā 
MBtantrabhidanaHK-9436	khrīṃ	khrīṃ 
MBtantrabhidanaHK-9437	parabrahma - ai	parabrahma ai 
MBtantrabhidanaHK-9438	paramaḥ - a	paramaḥ a 
MBtantrabhidanaHK-9439	paramā - ṭa|strīṃ	paramā 
MBtantrabhidanaHK-9440	paramātmā - kṣa|	paramātmā kṣa 
MBtantrabhidanaHK-9441	sa|ha	saha 
MBtantrabhidanaHK-9442	parameśvaraḥ -	parameśvaraḥ 
MBtantrabhidanaHK-9443	kṣa	kṣa 
MBtantrabhidanaHK-9444	parameśvarī - i|	parameśvarī i 
MBtantrabhidanaHK-9445	ḍa|hrīṃ|hlīṃ	ḍa hrīṃ hlīṃ 
MBtantrabhidanaHK-9446	parameṣṭhī - ka|	parameṣṭhī ka 
MBtantrabhidanaHK-9447	ga|ṣa|ka&	gaṣaka 
MBtantrabhidanaHK-9448	paravidyā -	para vidyā 
MBtantrabhidanaHK-9449	ṃ(aṃ)	ṃaṃ 
MBtantrabhidanaHK-9450	parāsparanibodhitaḥ	        
MBtantrabhidanaHK-9451	- ai	ai 
MBtantrabhidanaHK-9452	parā - u|ḷ|ai|	parā 
MBtantrabhidanaHK-9453	ṃ(aṃ)|gūṃ|	ṃaṃgūṃ 
MBtantrabhidanaHK-9454	sa svāhā|klīṃ|hrīṃ|	sa svāhā klīṃ hrīṃ 
MBtantrabhidanaHK-9455	hlīṃ	hlīṃ 
MBtantrabhidanaHK-9456	parājitaḥ - gha	parājitaḥ gha 
MBtantrabhidanaHK-9457	parājitā - ṅa	parājitā ṅa 
MBtantrabhidanaHK-9458	parāparaḥ - ī	para aparaḥ ī 
MBtantrabhidanaHK-9459	parāprāsādamantraḥ	parā prāsāda mantraḥ 
MBtantrabhidanaHK-9460	- haṃsaḥ	haṃsaḥ 
MBtantrabhidanaHK-9461	parābīja - sauḥ	parābīja sauḥ 
MBtantrabhidanaHK-9462	parāyaṇā - ā|la	parāyaṇā āla 
MBtantrabhidanaHK-9463	parāvidyā - oṃ	parā avidyā om 
MBtantrabhidanaHK-9464	parāśaktiḥ - klīṃ	parā śaktiḥ klīṃ 
MBtantrabhidanaHK-9465	parijñā - ai|gūṃ|	parijñā 
MBtantrabhidanaHK-9466	sa|drā&	sadrā 
MBtantrabhidanaHK-9467	paretarāṭ - ña	paretarāṭ ña 
MBtantrabhidanaHK-9468	parokṣaḥ - sa	parokṣaḥ sa 
MBtantrabhidanaHK-9469	parjanyaḥ - au	parjanyaḥ au 
MBtantrabhidanaHK-9470	parvataḥ - da	parvataḥ da 
MBtantrabhidanaHK-9471	parvatāriḥ - i|la	parvata ariḥ 
MBtantrabhidanaHK-9472	parvadhiḥ - ai|	parva dhiḥ ai 
MBtantrabhidanaHK-9473	gūṃ|sa|drā&	gūṃsadrā 
MBtantrabhidanaHK-9474	paryaṇyaḥ - i|la	paryaṇyaḥ ila 
MBtantrabhidanaHK-9475	parśupāṇiḥ -	parśu pāṇiḥ 
MBtantrabhidanaHK-9476	ga&	ga 
MBtantrabhidanaHK-9477	palvalāvāsaḥ - ca	palvala āvāsaḥ ca 
MBtantrabhidanaHK-9478	pavanaḥ - ka|ṭa|ya|	pavanaḥ kaṭaya 
MBtantrabhidanaHK-9479	ya&	ya 
MBtantrabhidanaHK-9480	pavanabījam - ya&	pavana bījam ya 
MBtantrabhidanaHK-9481	pavamānaḥ - ṭa|	pavamānaḥ ṭa 
MBtantrabhidanaHK-9482	ya|ya&	yaya 
MBtantrabhidanaHK-9483	paśudyutiḥ - cha	paśu dyutiḥ cha 
MBtantrabhidanaHK-9484	paśupatiḥ - cha|	paśupatiḥ cha 
MBtantrabhidanaHK-9485	na|pha|ha	na pha ha 
MBtantrabhidanaHK-9486	paśupriyaḥ - cha	paśu priyaḥ cha 
MBtantrabhidanaHK-9487	paścimaḥ - o	paścimaḥ 
MBtantrabhidanaHK-9488	paścimāsyaḥ - o	paścima āsyaḥ 
MBtantrabhidanaHK-9489	pāṃśucandanaḥ ##-	pāṃśucandanaḥ 
MBtantrabhidanaHK-9490	pākaśāsanaḥ - i|	pākaśāsanaḥ i 
MBtantrabhidanaHK-9491	la	la 
MBtantrabhidanaHK-9492	p. 27)	p 
MBtantrabhidanaHK-9493	pācanaḥ - ra|ra&	pācanaḥ rara 
MBtantrabhidanaHK-9494	pāñcajanyaḥ - i|ī	pāñcajanyaḥ iī 
MBtantrabhidanaHK-9495	pāṭalā - ba	pāṭalā 
MBtantrabhidanaHK-9496	pāṇinī - ḍha	pāṇinī ḍha 
MBtantrabhidanaHK-9497	pāṇḍuḥ - sa	pāṇḍuḥ sa 
MBtantrabhidanaHK-9498	pāṇḍyavāyanaḥ ##-	pāṇḍyavāyanaḥ 
MBtantrabhidanaHK-9499	pātakaḥ - ra	pātakaḥ ra 
MBtantrabhidanaHK-9500	pātā - pa	pātā pa 
MBtantrabhidanaHK-9501	pātālaratnam -	      
MBtantrabhidanaHK-9502	plūm	plūm 
MBtantrabhidanaHK-9503	pātinī - pa	pātinī pa 
MBtantrabhidanaHK-9504	pādapaḥ -	pādapaḥ 
MBtantrabhidanaHK-9505	ṃ(aṃ)	ṃaṃ 
MBtantrabhidanaHK-9506	pādapūraṇam - ha	pāda pūraṇam ha 
MBtantrabhidanaHK-9507	pādamūlam - ṭa	pāda mūlam ṭa 
MBtantrabhidanaHK-9508	pāthaḥ - va|va&	pāthaḥ vava 
MBtantrabhidanaHK-9509	pānam - pa	pānam pa 
MBtantrabhidanaHK-9510	pānīyam - va|va&	pānīyam vava 
MBtantrabhidanaHK-9511	pāntimaḥ - pha|ya	pāntimaḥ phaya 
MBtantrabhidanaHK-9512	pāpam - u|ṛ	pāpam uṛ 
MBtantrabhidanaHK-9513	pāpaghnī - pa	pāpa ghnī pa 
MBtantrabhidanaHK-9514	pāpahā - ya	pāpa hā ya 
MBtantrabhidanaHK-9515	pāpmabījam - ṝ	pāpma bījam ṝ 
MBtantrabhidanaHK-9516	pāyuḥ - bha|sa	pāyuḥ bhasa 
MBtantrabhidanaHK-9517	pārakaḥ - ī	pārakaḥ ī 
MBtantrabhidanaHK-9518	pāradviṭ - u	pāradviṣ u 
MBtantrabhidanaHK-9519	pārā - la|la&	pārā lala 
MBtantrabhidanaHK-9520	pārāvāraḥ - rū&	pārāvāraḥ rū 
MBtantrabhidanaHK-9521	pārthivaḥ - ṝ|pa	pārthivaḥ ṝpa 
MBtantrabhidanaHK-9522	pārvatī - au|ṭha|	pārvatī auṭha 
MBtantrabhidanaHK-9523	dha|pa|hlīṃ	dhapa hlīm 
MBtantrabhidanaHK-9524	pārśvaḥ - pa	pārśvaḥ pa 
MBtantrabhidanaHK-9525	pālanam - pa	pālanam pa 
MBtantrabhidanaHK-9526	pālinī - ṭha|ḍa	pālinī ṭhaḍa 
MBtantrabhidanaHK-9527	pālīśaḥ - ya	pālīśaḥ ya 
MBtantrabhidanaHK-9528	pāvakaḥ - ī|ṝ|	pāvakaḥ īṝ 
MBtantrabhidanaHK-9529	na|ra|ra&	nara ra 
MBtantrabhidanaHK-9530	pāvakamaṇḍanam ##-	pāvaka maṇḍanam 
MBtantrabhidanaHK-9531	pāvakasundarī -	      
MBtantrabhidanaHK-9532	svāhā	svāhā 
MBtantrabhidanaHK-9533	pāvanaḥ - pa	pāvanaḥ pa 
MBtantrabhidanaHK-9534	pāvanī - dha	pāvanī dha 
MBtantrabhidanaHK-9535	pāśaḥ - ā&	pāśaḥ ā 
MBtantrabhidanaHK-9536	pāśinī - ja	pāśinī ja 
MBtantrabhidanaHK-9537	pāśī - ja|jha|ba	pāśī jajhaba 
MBtantrabhidanaHK-9538	pāśupatabījam -	pāśupata bījam 
MBtantrabhidanaHK-9539	ślīṃ	ślīṃ 
MBtantrabhidanaHK-9540	piṅgalaḥ - ra|ra&	piṅgalaḥ rara 
MBtantrabhidanaHK-9541	piṅgalā - ṅa|ca	piṅgalā 
MBtantrabhidanaHK-9542	piṅgaśaṭhaḥ -	piṅga śaṭhaḥ 
MBtantrabhidanaHK-9543	ja	ja 
MBtantrabhidanaHK-9544	piṇḍabījam -	       
MBtantrabhidanaHK-9545	glauṃ	glauṃ 
MBtantrabhidanaHK-9546	piṇḍam - sa	piṇḍam sa 
MBtantrabhidanaHK-9547	piṅgalikā - oṃ|	piṅgalikā om 
MBtantrabhidanaHK-9548	brīṃ	brīṃ 
MBtantrabhidanaHK-9549	piṇḍapādaḥ -	piṇḍa pādaḥ 
MBtantrabhidanaHK-9550	krā&	krā 
MBtantrabhidanaHK-9551	pitā - kha	pitā kha 
MBtantrabhidanaHK-9552	pitāmahaḥ - a|ka|	pitāmahaḥ aka 
MBtantrabhidanaHK-9553	ña|ma|ka&	ñamaka 
MBtantrabhidanaHK-9554	pitṛkālī - ṝ	pitṛ kālī ṝ 
MBtantrabhidanaHK-9555	pitrbhūvāsinī -	pitṛ bhū vāsinī 
MBtantrabhidanaHK-9556	krīṃ|hrīṃ	krīṃ hrīṃ 
MBtantrabhidanaHK-9557	pinākapāṇiḥ - e|	pinākapāṇiḥ e 
MBtantrabhidanaHK-9558	ga|sa|ha	gasaha 
MBtantrabhidanaHK-9559	pinākī - e|ga|la|sa|	pinākī egalasa 
MBtantrabhidanaHK-9560	ha	ha 
MBtantrabhidanaHK-9561	pinākīśaḥ - la	pinākīśaḥ la 
MBtantrabhidanaHK-9562	pippalam - va|va&	pippalam vava 
MBtantrabhidanaHK-9563	piśitāśanaḥ -	piśita aśanaḥ 
MBtantrabhidanaHK-9564	drūṃ|hu&	drūṃhu 
MBtantrabhidanaHK-9565	pīṭhamadhyasthā ##-	pīṭha madhya sthā 
MBtantrabhidanaHK-9566	pīṭharājitaḥ - e	pīṭha rājitaḥ e 
MBtantrabhidanaHK-9567	pīṭharūpā - u	pīṭha rūpāḥ u 
MBtantrabhidanaHK-9568	pīṭhasthā - ya	pīṭha sthāḥ ya 
MBtantrabhidanaHK-9569	pīṭheśaḥ - ai	pīṭha īśaḥ ai 
MBtantrabhidanaHK-9570	pītam - la	pītam la 
MBtantrabhidanaHK-9571	pītā - la|ṣa	pītā laṣa 
MBtantrabhidanaHK-9572	pītākṣaḥ - la	pīta akṣaḥ la 
MBtantrabhidanaHK-9573	pītāmbaraḥ - a|u|	pītāmbaraḥ au 
MBtantrabhidanaHK-9574	klīṃ	klīṃ 
MBtantrabhidanaHK-9575	pīyuṣam - o|oṃ	pīyuṣam ooṃ 
MBtantrabhidanaHK-9576	pīyuṣamahāḥ - ai|	pīyuṣa mahāḥ ai 
MBtantrabhidanaHK-9577	gūṃ|sa|drā&	gūṃsadrā 
MBtantrabhidanaHK-9578	pīluḥ - krā&	pīluḥ krā 
MBtantrabhidanaHK-9579	pīvaraḥ - ca	pīvaraḥ ca 
MBtantrabhidanaHK-9580	pucchakaḥ - ta	pucchakaḥ ta 
MBtantrabhidanaHK-9581	puṇḍarīkam - śa	puṇḍarīkam śa 
MBtantrabhidanaHK-9582	puṇḍarīkākṣaḥ -	puṇḍarīkākṣaḥ 
MBtantrabhidanaHK-9583	a|u|klīṃ	auklīm 
MBtantrabhidanaHK-9584	puṇyavardhinī -pa	puṇya vardhinī 
MBtantrabhidanaHK-9585	punarāśaḥ - o	punarāśaḥ 
MBtantrabhidanaHK-9586	punarnavaḥ - ṭa	punarnavaḥ ṭa 
MBtantrabhidanaHK-9587	punarbhavaḥ - ṭa	punarbhavaḥ ṭa 
MBtantrabhidanaHK-9588	punarvasuḥ - a|u|	punarvasuḥ au 
MBtantrabhidanaHK-9589	klīṃ	klīṃ 
MBtantrabhidanaHK-9590	punaḥ - a|u	punar au 
MBtantrabhidanaHK-9591	punītā -	punīta 
MBtantrabhidanaHK-9592	ḥ(aḥ)	ḥaḥ 
MBtantrabhidanaHK-9593	punnādaḥ -	punnādaḥ 
MBtantrabhidanaHK-9594	ṃ(aṃ)	ṃaṃ 
MBtantrabhidanaHK-9595	pum - sa	pum sa 
MBtantrabhidanaHK-9596	pumān -	pumān 
MBtantrabhidanaHK-9597	ṃ(aṃ)|ma|ha	ṃaṃ maha 
MBtantrabhidanaHK-9598	pummantraḥ -	pum mantraḥ 
MBtantrabhidanaHK-9599	huphaḍantaḥ	hu phaṭ antaḥ 
MBtantrabhidanaHK-9600	puradaṃśā - i|la	pura daṃśāḥ ila 
MBtantrabhidanaHK-9601	puradviṭ - e|ga|sa|	pura dviṣ egasa 
MBtantrabhidanaHK-9602	ha	ha 
MBtantrabhidanaHK-9603	purandaraḥ - i|bha|	purandaraḥ ibha 
MBtantrabhidanaHK-9604	la	la 
MBtantrabhidanaHK-9605	puravedī - dha	puravedī dha 
MBtantrabhidanaHK-9606	purasthitaḥ - u	purasthitaḥ u 
MBtantrabhidanaHK-9607	purahutaḥ - i|la	purahutaḥ ila 
MBtantrabhidanaHK-9608	p. 28)	p 
MBtantrabhidanaHK-9609	purāṇagaḥ - ka|	purāṇagaḥ ka 
MBtantrabhidanaHK-9610	ma|ka&	maka 
MBtantrabhidanaHK-9611	purāṇapuruṣaḥ -	purāṇapuruṣaḥ 
MBtantrabhidanaHK-9612	a|u|klīṃ	auklīm 
MBtantrabhidanaHK-9613	puruṣaḥ -	puruṣaḥ 
MBtantrabhidanaHK-9614	ṃ(aṃ)	ṃaṃ 
MBtantrabhidanaHK-9615	puruṣottamaḥ - a|	puruṣottamaḥ a 
MBtantrabhidanaHK-9616	u|pa|ya|klīṃ	upayaklīm 
MBtantrabhidanaHK-9617	pulomāriḥ - i|la	pulomāriḥ 
MBtantrabhidanaHK-9618	puṣkaram - ā|kha|	puṣkaram ākha 
MBtantrabhidanaHK-9619	va|ha|ā&|mlauṃ|va&|	vaha amlauṃva 
MBtantrabhidanaHK-9620	ha&	ha 
MBtantrabhidanaHK-9621	puṣkarī - krā&	puṣkarī krā 
MBtantrabhidanaHK-9622	puṣṭiḥ - i|ī|u|au|ca	puṣṭiḥ iīuauca 
MBtantrabhidanaHK-9623	puṣpam - dha	puṣpam dha 
MBtantrabhidanaHK-9624	puṣpacāpaḥ - ṭha	puṣpa cāpaḥ ṭha 
MBtantrabhidanaHK-9625	puṣpadhanvā - ja|	puṣpadhanvā ja 
MBtantrabhidanaHK-9626	jha|ña|ca	jhañ a ca 
MBtantrabhidanaHK-9627	puṣpapūraḥ - ba	puṣpapūraḥ ba 
MBtantrabhidanaHK-9628	pūjyavaṃśaḥ -	pūjya vaṃśaḥ 
MBtantrabhidanaHK-9629	va	va 
MBtantrabhidanaHK-9630	pūtakratuḥ - i|la	pūtakratuḥ ila 
MBtantrabhidanaHK-9631	pūtanārī - a|u|	pūtanārī au 
MBtantrabhidanaHK-9632	klīṃ	klīṃ 
MBtantrabhidanaHK-9633	pūtanā - ta|la	pūtanā tala 
MBtantrabhidanaHK-9634	pūraṇam - ba	pūraṇam ba 
MBtantrabhidanaHK-9635	pūrṇagiriḥ - ṛ	pūrṇagiriḥ ṛ 
MBtantrabhidanaHK-9636	pūrnacandraḥ -	pūrna candraḥ 
MBtantrabhidanaHK-9637	ṭha	ṭha 
MBtantrabhidanaHK-9638	pūrṇamaṇḍalā -	pūrṇa maṇḍalā 
